experiment_id,dataset,split,category,image_id,resolution,payload_bpp,secret_id,secret_bits,model,model_name,status,exact_recovery,psnr,mse,ssim,ms_ssim,ber,secret_accuracy,lsb_change_percent,pixel_change_percent,channel_change_percent,residual_rms,residual_max,encode_ms,decode_ms,total_ms,error,payload_bits,metric_valid,metric_note
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0057,256,0.013428,fixed_v1,240,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,True,74.9496,0.0020802815755208335,0.999999,0.999998,0.0,100.0,0.208,0.6241,0.208,0.04561,1.0,20.615851000002294,32.26554799994119,52.90334900018934,,880,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0057,256,0.019531,fixed_v1,240,ares_hybrid_inn,ARES-Hybrid-INN,ok,True,75.4797,0.0018412272135416667,0.999999,0.999999,0.0,100.0,0.1841,0.5524,0.1841,0.04291,1.0,387.0845750002445,194.2822010000782,587.0415999997931,,1280,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0058,256,0.013306,fixed_v1,240,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,True,74.824,0.0021413167317708335,0.999999,0.999998,0.0,100.0,0.2141,0.6424,0.2141,0.046274,1.0,20.93179199982842,31.224585000018124,52.175375999922835,,872,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0058,256,0.018433,fixed_v1,240,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,True,73.2135,0.0031026204427083335,0.999998,0.999997,0.0,100.0,0.3103,0.9308,0.3103,0.055701,1.0,27.14416600019831,41.120284000044194,68.28776599968478,,1208,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0058,256,0.013672,fixed_v1,240,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,True,74.5832,0.0022633870442708335,0.999999,0.999998,0.0,100.0,0.2263,0.679,0.2263,0.047575,1.0,27.73907099981443,42.10413000009794,69.86752900002102,,896,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0058,256,0.013428,fixed_v1,240,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,True,74.3736,0.0023752848307291665,0.999999,0.999998,0.0,100.0,0.2375,0.7126,0.2375,0.048737,1.0,27.41400800005067,41.786326999954326,69.22786199993425,,880,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0058,256,0.019531,fixed_v1,240,ares_hybrid_inn,ARES-Hybrid-INN,ok,True,75.3265,0.0019073486328125,0.999999,0.999998,0.0,100.0,0.1907,0.5722,0.1907,0.043673,1.0,699.6825000001081,275.3538239999216,978.5117169999467,,1280,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0059,256,0.013306,fixed_v1,240,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,True,74.6422,0.0022328694661458335,0.999999,0.999998,0.0,100.0,0.2233,0.6699,0.2233,0.047253,1.0,26.516205000007176,40.881998000259046,67.4232490000577,,872,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0059,256,0.018433,fixed_v1,240,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,True,73.0803,0.0031992594401041665,0.999998,0.999997,0.0,100.0,0.3199,0.9598,0.3199,0.056562,1.0,27.6552539999102,39.11315100003776,66.79055899985542,,1208,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0059,256,0.013672,fixed_v1,240,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,True,74.309,0.002410888671875,0.999999,0.999997,0.0,100.0,0.2411,0.7233,0.2411,0.049101,1.0,20.278042999962054,28.944204000254103,49.238910999974905,,896,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0059,256,0.013428,fixed_v1,240,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,True,74.7727,0.002166748046875,0.999999,0.999998,0.0,100.0,0.2167,0.65,0.2167,0.046548,1.0,20.223723000071914,29.54950599996664,49.78868099988176,,880,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0059,256,0.019531,fixed_v1,240,ares_hybrid_inn,ARES-Hybrid-INN,ok,True,75.2122,0.0019582112630208335,0.999999,0.999998,0.0,100.0,0.1958,0.5875,0.1958,0.044252,1.0,438.81581699997696,301.2141489998612,745.0288220002221,,1280,True,ok
